file_path,field_name,pii_classification,matched_pattern,review_status
dbt/models/intermediate/int_campaign_spend_unified.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_customer_journey.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_customer_journey.sql,gross_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_ga4_sessions.sql,revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/int_ga4_sessions.sql,session_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/schema.yml,campaign_spend_row_key,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/intermediate/schema.yml,int_campaign_spend_unified,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/dim_campaign.sql,int_campaign_spend_unified,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/dim_customer.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/dim_source_system.sql,revenue_operations,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_attribution.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_attribution.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_campaign_performance.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_campaign_performance.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_campaign_performance.sql,revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_campaign_performance.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_conversions.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_conversions.sql,gross_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_revenue.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_revenue.sql,fact_revenue_key,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_revenue.sql,gross_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_revenue.sql,revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_revenue.sql,revenue_date,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_targets.sql,budget_owner,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_targets.sql,target_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/fact_targets.sql,target_spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/schema.yml,revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/core/schema.yml,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,first_touch_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,last_touch_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,last_vs_first_revenue_delta,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,linear_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,model_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,position_based_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,time_decay_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,time_decay_vs_linear_revenue_delta,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,u_shaped_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_model_comparison.sql,u_shaped_vs_linear_revenue_delta,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_attribution_summary.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_budget_efficiency.sql,booked_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_budget_efficiency.sql,budget_recommendation,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_budget_efficiency.sql,gross_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_budget_efficiency.sql,no_spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_budget_efficiency.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,Spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,budget,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,campaign_min_spend_for_action,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,target_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_action_center.sql,target_spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_performance.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_performance.sql,revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_performance.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_campaign_performance.sql,waste_budget_flag,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_channel_performance.sql,attributed_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_channel_performance.sql,booked_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_channel_performance.sql,deal_value,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_channel_performance.sql,gross_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_channel_performance.sql,revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_channel_performance.sql,spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_customer_value.sql,acquisition_spend,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_customer_value.sql,channel_spend_reference,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_customer_value.sql,fact_revenue,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_customer_value.sql,first_revenue_date,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_customer_value.sql,gross_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
dbt/models/marts/reporting/mart_customer_value.sql,lifetime_margin,commercially_sensitive,(deal_value|gross_margin|revenue|margin|budget|spend),needs_review
